LAHM AND ISSW RECALCULATED RESULTS
Generated (UTC): 2026-07-22T19:06:24.314414+00:00
Repository commit: de05c7c6c87d9536860621e0912516bc6a9dfe57

METHODS
LAHM: current LAHM/LAHM_analysis.ipynb and LAHM_library.py logic; LAHM unit 10; exponential fit A*(1-exp(-t/t0)) over array indices 40:160.
ISSW: current ISSW_Calibrate_IV.ipynb calibration followed by ISSW_Analyze_IV.ipynb retrieval logic; nucleopore UPS_INKStandards calibration.
Discovery: active filelist*.txt and spectrum_files.txt first blocks; LAHM Sandbox, checkpoints, filelist graveyard, Baker (old), and ISSW code_graveyard excluded.
Raw measurement files and original lists were not modified.

ISSW CALIBRATION PARAMETERS
calibration_folder	ISSW/UPS_INKStandards
filter_type	nucleopore
standards_used	B.10mL.txt; A.14mL.txt; C.20mL.txt; C.34mL.txt; C.50mL.txt
wavelength_1_nm	450
wavelength_2_nm	600
betabar_450_std	0.0622319314797
betabar_600_std	0.0549824449509
AAE_std	0.430524861106
p_L_450	6.25586229502 6.23233270294 -2.04196144985e-05
p_L_600	5.40369812817 7.86488658631 -6.66150850111e-06

LAHM RESULTS
sample_file	source_filelist	volume_mL	ugbasic_ug	ng_per_g	t0_s	status
LAHM/Cascades (UCB UPS UPS)/Adams/Summit_surface.txt	LAHM/Cascades (UCB UPS UPS)/Adams/filelist.txt	120	10.1920940402	84.9341170016	6.14693955987	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_crater_06-25-25_rBC_1.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	60	6.77325945942	112.887657657	5.48747996334	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_crater_06-25-25_rBc_2.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	60	6.82998283029	113.833047172	5.71034659219	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_crater_07-10-25_rBC_1.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	60	7.761144409	129.352406817	6.32983411728	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_crater_07-10-25_rBc_2.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	60	7.6369675663	127.282792772	6.64404373786	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_summit_06-25-25_rBC_1.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	300	9.30625312472	31.0208437491	4.96700137449	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_summit_06-25-25_rBc_2.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	300	9.12714971654	30.4238323885	5.08152324132	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_summit_07-10-25_rBC_1.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	525	8.58631456309	16.3548848821	5.55921583204	OK
LAHM/Cascades (UCB UPS UPS)/Baker/Baker_summit_07-10-25_rBc_2.txt	LAHM/Cascades (UCB UPS UPS)/Baker/filelist.txt	525	8.1034609962	15.4351638023	5.76322449921	OK
LAHM/Cascades (UCB UPS UPS)/Misc/Huann_05-10-23.txt	LAHM/Cascades (UCB UPS UPS)/Misc/filelist.txt	360	0.931071878652	2.58631077403	5.44341633105	OK
