Sample,Site,Date,Depth_Range,Depth,schmitt_micrograms,schmitt_ngperg,A,t0,,Notes,,
UPS2020-2,1,6/17/2020,5-10,1,2.92,3.05,2.2462,3.7322,missing all of these physical filters,numbers from run 1,4.165493571,0.9930202657
UPS2020-4,1,6/17/2020,10-20,2,2.55,2.5,2.008,3.2864,,,,
UPS2020-8,1,6/17/2020,10-20,2,2.65,2.6,2.059,3.2211,,,,
UPS2020-6,1,6/17/2020,20-30,2,1.98,2.06,1.5825,3.2423,,,,
UPS2020-14,1,6/17/2020,20-30,2,2.16,2.25,1.6878,3.0216,,,,
UPS2020-10,1,6/17/2020,30-40,3,1.41,1.54,1.0399,2.90225,,,,
UPS2020-16,1,6/17/2020,30-40,3,2.16,2.25,1.6878,3.0216,,,,
UPS2020-17,2,6/25/2020,5-10,1,8.09,5.86,4.8725,3.6287,,,,
UPS2020-18,2,6/25/2020,10-20,2,6.09,4.41,4.0380,3.4246,,,,
UPS2020-19,2,6/25/2020,20-30,2,5.4,3.92,3.7291,3.3275,,,,
UPS2020-21,3,7/11/2020,0-5,1,10.04,16.74,5.5512,4.1188,,,,
UPS2020-22,3,7/11/2020,5-10,1,8.7,7.24,5.0821,3.5112,,,,
UPS2020-23,3,7/11/2020,10-20,2,5.6,4.05,3.8199,3.3694,,,,
UPS2020-24,3,7/11/2020,20-30,2,4.21,3.05,3.0942,3.1956,,,,
UPS2020-25,3,7/11/2020,30-40,3,3.17,2.3,2.4386,3.2986,,,,
UPS2020-26,4,7/17/2020,5-10,1,9.52,9.92,5.3632,3.6900,,,,
UPS2020-27,4,7/17/2020,10-20,2,11.3,11.8,5.9267,3.6931,,,,
UPS2020-28,4,7/17/2020,20-30,2,12.6,13.1,6.2991,3.5018,,,,
UPS2020-29,4,7/17/2020,30-40,3,8.02,8.36,4.8533,3.3050,,,,
UPS2021-S1,5,2/12/2021,0-10,1,4.78,8.69,3.3805,3.577,,,,
UPS2021-S2,5,2/12/2021,10-20,2,3.95,6.21,2.9382,3.3536,,,,
UPS2021-S3,5,2/12/2021,20-30,2,15.228,13.476,6.8863,4.2982,,missing info on amnt filtered,,
UPS2021-S4,5,2/12/2021,30-40,3,5.61,7.02,3.8195,3.5004,,,,
UPS2021-1,6,2/13/2021,"0-11.3, North",1,5.39,9.97,3.6991,3.6444,,,,
UPS2021-2 ,6,2/13/2021,"0-12.7, Middle",1,8.1,13,4.8718,4.0522,,average of the 2 filters,,
UPS2021-3,6,2/13/2021,"0-12.7, Middle",1,14.7,27,6.8116,4.2687,,,,
UPS2021-4,6,2/13/2021,"0-10.3, South",1,5.93,14.83,3.9542,3.7474,,,,
UPS2021-5,6,2/13/2021,"0-10.3, South",1,10.79,17.99,5.7325,3.8957,,,,
UPS2021-R1,7,4/14/2021,0-5,1,8.7,10.73,5.0944,3.7698,,,,
UPS2021-R2,7,4/14/2021,5-10,1,5.63,6.78,3.8126,3.4738,,,,
UPS2021-R3,7,4/14/2021,5-10,1,4.17,4.64,3.0793,3.2442,,,,
UPS2021-R4,7,4/14/2021,10-20,2,3.49,3.75,2.6334,3.6933,,,,
UPS2021-R5,7,4/14/2021,10-20,2,3.40,3.82,2.5650,3.5560,,,,
UPS2021-R6,7,4/14/2021,20-30,2,3.57,4.00,2.7246,3.7007,,,,
UPS2021-R8,7,4/14/2021,30-40,3,2.85,3.43,2.2024,3.6404,,,,
UPS2021-R9,7,4/14/2021,30-40,3,3.50,3.81,2.6470,3.5523,,,,
UPS2021-R10,8,6/10/2021,0-5,1,14.5,20.9,6.7621,5.2687,,,,
