Sample,Site,Depth_Range,Depth,A,t0,schmitt_micrograms,schmitt_ngperg
2025-06-06-07-1LA,7,0-10,1,4.1924487,4.40811456,6.545016014,119.0002912
2025-06-06-07-1LB,7,0-10,1,4.32156419,4.5378019,6.833143764,113.8857294
2025-06-06-07-1LC,7,0-10,1,4.44616697,4.75535028,7.049519678,117.4919946
2025-06-06-07-1RA,7,0-10,1,3.75023581,4.53108579,5.56543553,55.6543553
2025-06-06-07-1RB,7,0-10,1,4.36682326,4.5745824,6.919512083,57.66260069
2025-06-06-07-2LA,7,10-20,2,3.87736015,4.06401013,5.848994344,18.27810732
2025-06-06-07-2LB,7,10-20,2,6.48559714,4.2984261,13.51318975,25.98690336
2025-06-06-07-2R,7,10-20,2,4.87917126,3.97872238,8.246092775,24.98815992
2025-06-06-07-3LA,7,20-30,2,4.84776346,4.0188868,8.130267253,15.78692671
2025-06-06-07-3LB,7,20-30,2,4.79286845,4.0437803,7.986278353,15.50733661
2025-06-06-07-3R,7,20-30,2,4.62710742,4.22549738,7.519971923,14.74504299
2025-06-06-07-4LA,7,30-40,3,4.94939082,4.02358679,8.456298484,21.40835059
2025-06-06-07-4LB,7,30-40,3,4.78033864,4.20090691,7.975686908,20.45047925
2025-06-06-07-4R,7,30-40,3,4.30162867,4.11757282,6.631020871,17.00261762
2025-06-06-07-5LA,7,40-50,3,3.56373392,4.24500917,5.237027296,25.54647462
2025-06-06-07-5LB,7,40-50,3,3.35696032,4.23792655,4.732489667,23.08531545
2025-06-06-07-5R,7,40-50,3,4.17544476,4.22487515,6.523558524,16.30889631
2025-06-06-07-6LA,7,50-60,4,4.29053904,4.36563824,6.784577887,20.55932693
2025-06-06-07-6LB,7,50-60,4,3.19627668,4.22274559,4.424312068,22.12156034
2025-06-06-07-6R,7,50-60,4,4.19995059,4.2067465,6.529377925,16.32344481
2025-06-06-07-7,7,60-70,4,3.91229565,4.06662151,5.798780337,8.110182289
2025-06-10-02-1A,2,0-5,1,6.5107305,7.31165045,12.99226256,288.7169459
2025-06-10-02-1B,2,0-5,1,6.88242395,7.21078076,14.38935175,411.1243358
2025-06-10-02-2A,2,5-30,2,3.81143425,4.69258899,5.668215595,17.71317374
2025-06-10-02-2B,2,5-30,2,3.99496629,4.55472193,6.029768414,23.19141698
